method,path,required_role,auth,implementation_file,notes
POST,/api/registry/dsr-complaints,DATA_CONTROLLER,true,server/routes_registry.ts,Create complaint
GET,/api/registry/compliance-audits,DATA_CONTROLLER|REGULATOR,true,server/routes_registry.ts,List audits
POST,/api/registry/compliance-audits,REGULATOR,true,server/routes_registry.ts,Create audit
PATCH,/api/registry/compliance-audits/:id,REGULATOR,true,server/routes_registry.ts,Update audit
GET,/api/registry/external-integrations,DATA_CONTROLLER|DATA_PROTECTION_OFFICER,true,server/routes_registry.ts,List external integrations
GET,/api/registry/external-integrations/:id,DATA_CONTROLLER|DATA_PROTECTION_OFFICER,true,server/routes_registry.ts,Get integration
POST,/api/registry/external-integrations,DATA_CONTROLLER|DATA_PROTECTION_OFFICER,true,server/routes_registry.ts,Create integration
PATCH,/api/registry/external-integrations/:id,DATA_CONTROLLER|DATA_PROTECTION_OFFICER,true,server/routes_registry.ts,Update integration
POST,/api/registry/external-integrations/sync/:id,DATA_CONTROLLER|DATA_PROTECTION_OFFICER,true,server/routes_registry.ts,Sync integration
GET,/api/public-register,,false,server/routes_registry.ts,Public register (public)
